,20.0,40.0,60.0,80.0
2017-07-31,219.28763065463448,155.059770666216,126.60577258840861,109.64381532731736
2017-08-01,214.7167574351572,151.82767521678127,123.966777704711,107.35837871757825
2017-08-02,213.32374721190976,150.84266824172386,123.1625226242872,106.66187360599893
2017-08-03,216.68124139512204,153.2167751464044,125.10097304781613,108.34062069756112
2017-08-04,226.5533962656666,160.19744280028215,130.8006643198069,113.27669813283345
2017-08-05,229.7694355268765,162.47152597043797,132.6574454529912,114.88471776343839
2017-08-06,226.8138827407627,160.381634553232,130.95105625632388,113.40694137038147
2017-08-07,218.91851441174248,154.798766067821,126.39266322621263,109.45925720587135
2017-08-08,213.39848106257256,150.89551305428475,123.20567029810469,106.69924053131102
2017-08-09,215.46466722639482,152.35652730188315,124.39858362401357,107.73233361319862
2017-08-10,221.38515006343388,156.54294086384726,127.81677598370942,110.69257503171706
2017-08-11,225.8082031445547,159.67051169105304,130.37042687073466,112.90410157227748
2017-08-12,227.94329479945685,161.18024947868625,131.60312261243698,113.97164739972858
2017-08-13,227.02555231772382,160.53130754646944,131.0732637435616,113.51277615886205
2017-08-14,221.00246739839667,156.27234335635669,127.595834044036,110.50123369919847
2017-08-15,215.32317877126263,152.25647985579926,124.31689522635554,107.66158938563234
2017-08-16,213.49177409763936,150.96148119199887,123.25953312036927,106.74588704883107
2017-08-17,219.9258999465792,155.5110952107725,126.97427753592837,109.96294997328971
2017-08-18,227.87377672509731,161.1310927768924,131.56298633349203,113.9368883625488
2017-08-19,233.60362512926093,165.18270743863374,134.8711158520495,116.80181256463062
2017-08-20,229.35845147162257,162.1809163580119,132.42016369805756,114.67922573581144
2017-08-21,222.3754957103475,157.2432209864972,128.3885523095458,111.18774785517387
2017-08-22,218.08299456186802,154.20796431615935,125.91027561597434,109.04149728093412
2017-08-23,214.8252043731983,151.90435878206458,124.02938957357826,107.41260218659568
2017-08-24,221.18354627814503,156.4003854601563,127.70037998400326,110.59177313907263
2017-08-25,224.8294362226833,158.97841896339747,129.80533552491826,112.41471811134178
2017-08-26,230.8877116727777,163.26226661645077,133.30308248685512,115.443855836389
2017-08-27,227.91397249760004,161.15951548020462,131.58619337356663,113.95698624880018
2017-08-28,223.9896388322645,158.38459253380893,129.3204782754952,111.99481941613236
2017-08-29,215.50185653971857,152.38282411752004,124.42005488407041,107.7509282698591
2017-08-30,216.48107706846625,153.07523759367456,124.98540811993921,108.24053853423322
2017-08-31,223.64234026699336,158.13901536321015,129.11996535534675,111.8211701334968
2017-09-01,228.1381446123453,161.31802910268948,131.71561920435954,114.06907230617279
2017-09-02,234.04363192517314,165.49383922778773,135.1251538941198,117.02181596258673
2017-09-03,230.1710716681614,162.7555256095095,132.8893301872777,115.08553583408084
2017-09-04,225.33041236431706,159.33266259035673,130.0945742351481,112.66520618215866
2017-09-05,213.8461099619706,151.21203448448634,123.46410913613623,106.92305498099756
2017-09-06,219.45810462434642,155.18031396621495,126.70419578071163,109.72905231217334
2017-09-07,224.59317179135226,158.81135478184916,129.66892819188934,112.29658589567624
2017-09-08,227.5102092146951,160.8740117248668,131.3530805334927,113.75510460734769
2017-09-09,232.05828114185474,164.0899842258789,133.97891108493138,116.02914057092752
2017-09-10,232.03127651115415,164.07088906838362,133.9633199541286,116.01563825557722
2017-09-11,220.40917293648474,155.85282081909875,127.2532953267424,110.20458646824248
2017-09-12,217.84687793016363,154.04100464473046,125.77395361509966,108.92343896508193
2017-09-13,218.43232052707143,154.45497507499908,126.11195905601943,109.21616026353583
2017-09-14,225.31310301728087,159.32042303368945,130.08458067897723,112.65655150864056
2017-09-15,229.3274553446088,162.15899878640965,132.40226807578202,114.66372767230455
2017-09-16,234.14736034521815,165.5671862970132,135.18504152535434,117.07368017260924
2017-09-17,230.64072924675634,163.08762366817334,133.16048711670715,115.32036462337831
2017-09-18,226.49282391058685,160.15461167725394,130.7656928542961,113.24641195529355
2017-09-19,216.83933091770197,153.32856131985503,125.19224607623369,108.41966545885107
2017-09-20,220.7401502070875,156.08685709156012,127.44438514302058,110.37007510354388
2017-09-21,222.55351917013718,157.36910258212515,128.49133420197745,111.27675958506872
2017-09-22,234.14294621623935,165.56406503648532,135.18249302680027,117.07147310811986
2017-09-23,234.5086061942377,165.82262568652453,135.39360691352616,117.25430309711902
2017-09-24,233.25648189785974,164.93724010567936,134.67069261395608,116.62824094893004
2017-09-25,223.26415836301777,157.87160037438645,128.90162193128378,111.63207918150901
2017-09-26,219.41035264115658,155.14654821508637,126.67662616036263,109.70517632057842
2017-09-27,218.8381628379132,154.74194892508743,126.34627222343248,109.41908141895671
2017-09-28,224.63659204301948,158.84205753624315,129.6939968858777,112.31829602150987
2017-09-29,232.1774362843054,164.17423963511624,134.04770533850197,116.08871814215286
2017-09-30,233.63893154285373,165.207672843107,134.89150001944606,116.81946577142702
2017-10-01,231.5144672537883,163.7054497379235,133.66493999026736,115.75723362689432
2017-10-02,226.51849017574472,160.1727604673941,130.78051127939415,113.2592450878725
2017-10-03,218.70213115459882,154.64575999935985,126.26773429445261,109.35106557729952
2017-10-04,221.32812174595216,156.50261575383635,127.78385066925993,110.66406087297621
2017-10-05,225.00860646253648,159.10511145498347,129.90877951112827,112.50430323126837
2017-10-06,235.7462998129739,166.6978072373552,136.1081896574847,117.87314990648711
2017-10-07,235.25911282606106,166.3533140151996,135.8269121194383,117.6295564130307
2017-10-08,231.58558020030765,163.75573418463517,133.70599706908308,115.79279010015398
2017-10-09,224.74429755495555,158.91821683410467,129.7561806921872,112.3721487774779
2017-10-10,219.90711429468638,155.49781174893016,126.96343163475116,109.9535571473433
2017-10-11,223.7075419721314,158.18511993105798,129.15760957735978,111.8537709860658
2017-10-12,225.5677732761018,159.50050210066803,130.23161462146214,112.78388663805103
2017-10-13,234.59010538501624,165.8802543169821,135.44066049326116,117.29505269250828
